team1_sr,team2_sr,team1_econ,team2_econ,team1_bat_avg,team2_bat_avg,team1_bowl_avg,team2_bowl_avg,team1_is_home,team2_is_home,toss_winner_is_team1,toss_decision_bat,team1_h2h_win_pct,team1_last5_wins,team2_last5_wins,team1_venue_winrate,team2_venue_winrate,team1_chase_winrate,team2_chase_winrate,team1_death_econ,team2_death_econ,sr_diff,econ_diff,form_diff,team1_encoded,team2_encoded,team1_matchup_strength,team2_matchup_strength,team1_depth,team2_depth,target,season,match_id
130.0,193.5483870967742,8.0,10.016129032258064,25.0,48.0,28.0,51.75,0,1,0,0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.0,0.0,-63.548387096774206,2.016129032258064,0.0,3,8,143.46699293795623,135.36108722156428,166.66666666666669,91.11519607843138,1,2008,335982
178.4860557768924,167.5977653631285,9.738095238095237,8.825396825396826,44.8,54.54545454545455,37.18181818181818,27.8,0,1,1,1,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.0,0.0,10.888290413763912,-0.9126984126984112,0.0,0,6,133.94371343968606,135.95264351615236,200.86580086580088,118.46153846153845,1,2008,335983
156.01317957166393,161.74636174636174,8.641935483870968,8.617529880478088,43.04545454545455,48.625,27.90625,24.033333333333335,0,1,1,1,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.0,0.0,-5.733182174697816,-0.024405603392880337,0.0,7,1,121.90194461188361,137.02148395468424,88.02197802197801,130.0,0,2008,335984
136.22704507512523,126.1744966442953,8.108658743633276,7.769633507853404,30.22222222222222,25.93103448275862,26.533333333333335,28.53846153846154,1,0,1,1,0.5,0.5,0.0,0.5,0.5,0.5,0.5,0.0,0.0,10.05254843082993,-0.3390252357798724,0.5,5,8,136.05547354880173,138.29818832799202,155.52115583075337,122.77777777777779,0,2008,335985
127.17041800643088,128.33876221498372,8.196147110332749,8.188481675392671,23.96969696969697,23.176470588235293,37.142857142857146,35.54545454545455,0,1,1,1,0.5,0.5,1.0,0.5,0.5,0.5,1.0,0.0,0.0,-1.1683442085528384,-0.007665434940077986,-0.5,9,3,137.5259969112442,137.55147063689512,88.57142857142857,55.07002801120448,0,2008,335986
124.87961476725522,129.74910394265234,8.402193784277879,8.356401384083046,23.575757575757574,31.47826086956522,38.3,35.0,0,1,1,1,0.5,0.0,0.0,0.5,0.5,0.5,0.5,0.0,0.0,-4.869489175397121,-0.04579240019483244,0.0,6,7,130.99245079957748,143.03026767047038,186.46103896103895,144.11764705882354,0,2008,335987
125.66844919786095,123.57142857142858,8.305317324185248,8.003407155025554,28.2,28.833333333333332,28.821428571428573,27.964285714285715,1,0,1,1,0.5,0.0,1.0,0.5,0.5,0.0,1.0,0.0,0.0,2.097020626432368,-0.3019101691596937,-1.0,9,1,134.8374460613203,124.69009127779616,89.71861471861472,130.0,0,2008,335988
121.29963898916967,121.53846153846153,8.085178875638842,7.2682926829268295,28.0,33.26315789473684,29.296296296296298,21.91176470588235,1,0,0,0,0.5,1.0,0.0,0.5,0.5,0.5,0.0,0.0,0.0,-0.23882254929186786,-0.8168861927120128,1.0,0,5,123.04066252615249,130.24915396031844,201.28205128205127,150.55555555555554,1,2008,335989
131.1864406779661,124.78920741989883,7.769854132901135,7.390599675850892,33.65217391304348,30.833333333333332,22.82857142857143,21.11111111111111,1,0,0,0,0.5,0.0,0.5,0.0,0.5,0.5,0.0,0.0,0.0,6.39723325806726,-0.3792544570502434,-0.5,9,7,142.35482009207524,113.91277531235697,175.0,150.67049808429118,0,2008,335990
133.106960950764,127.89115646258504,7.341296928327645,6.852791878172589,29.037037037037038,35.80952380952381,19.37837837837838,16.875,1,0,0,0,0.5,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,5.215804488178961,-0.4885050501550561,0.0,6,5,132.8800595100879,155.5730102648693,110.82375478927203,118.35839598997494,1,2008,335991
134.08360128617363,133.7078651685393,7.626943005181347,7.938461538461539,26.0625,26.03125,21.02857142857143,23.454545454545453,1,0,0,0,0.5,0.5,0.6666666666666666,0.0,0.5,1.0,0.5,0.0,0.0,0.37573611763431813,0.31151853328019197,-0.16666666666666663,8,7,118.07565319503941,120.91971226875386,63.36805555555556,0.0,0,2008,335992
136.21794871794873,136.37820512820514,7.620209059233449,7.419689119170984,25.757575757575758,24.314285714285713,20.25,19.88888888888889,0,1,1,1,0.5,1.0,1.0,0.5,1.0,0.5,1.0,0.0,0.0,-0.1602564102564088,-0.2005199400624651,0.0,3,0,140.3161884985646,122.59254061652769,83.85416666666666,130.0,0,2008,335993
140.625,139.19597989949747,7.595744680851064,7.27433628318584,31.666666666666668,34.625,21.0,18.513513513513512,0,0,0,0,0.5,0.0,0.0,0.5,0.5,0.5,0.0,0.0,0.0,1.4290201005025267,-0.3214083976652242,0.0,5,9,130.3235312090062,128.92823296603177,83.63253856942497,130.0,0,2008,335994
134.2327150084317,133.33333333333331,7.325088339222615,7.333333333333333,27.448275862068964,35.63636363636363,19.194444444444443,21.0,0,1,1,1,0.5,1.0,0.3333333333333333,0.5,0.5,0.5,0.5,0.0,0.0,0.8993816750983967,0.008244994110717663,0.6666666666666667,1,6,131.69681352033794,137.59202881501696,120.50125313283208,112.26053639846744,0,2008,335995
133.89544688026982,119.63696369636965,7.85929648241206,6.896551724137931,36.09090909090909,25.892857142857142,30.076923076923077,22.580645161290324,0,1,1,1,0.5,1.0,0.3333333333333333,0.5,0.0,1.0,0.5,0.0,0.0,14.258483183900168,-0.9627447582741295,0.6666666666666667,0,8,130.12337197623904,124.8348773271172,164.70588235294116,116.80555555555556,1,2008,335996
